Highest Offense Description,Highest Offense Code,Zip Code,frequency
FAMILY DISTURBANCE,3400,78741,22096
BURGLARY OF VEHICLE,601,78741,20807
THEFT,600,78753,17849
THEFT,600,78701,16858
BURGLARY OF VEHICLE,601,78704,16847
FAMILY DISTURBANCE,3400,78744,16716
BURGLARY OF VEHICLE,601,78758,16651
THEFT,600,78741,16534
BURGLARY OF VEHICLE,601,78753,16466
FAMILY DISTURBANCE,3400,78753,16159
FAMILY DISTURBANCE,3400,78745,16157
FAMILY DISTURBANCE,3400,78758,16047
THEFT,600,78704,15980
BURGLARY OF VEHICLE,601,78745,15206
BURGLARY OF VEHICLE,601,78759,15155
THEFT,600,78758,13881
THEFT,600,78745,13484
THEFT,600,78723,11753
CRIMINAL MISCHIEF,1400,78741,11728
FAMILY DISTURBANCE,3400,78723,11684
BURGLARY OF VEHICLE,601,78744,11487
ASSAULT BY CONTACT,902,78751,10973
CRIMINAL MISCHIEF,1400,78758,10661
BURGLARY OF VEHICLE,601,78702,10519
FAMILY DISTURBANCE,3400,78704,10375
THEFT,600,78702,10336
ASSAULT W/INJURY-FAM/DATE VIOL,900,78741,10300
BURGLARY OF VEHICLE,601,78701,10060
BURGLARY OF VEHICLE,601,78752,10033
CRIMINAL MISCHIEF,1400,78753,10012
THEFT,600,78744,9965
FAMILY DISTURBANCE,3400,78702,9662
BURGLARY OF VEHICLE,601,78723,9574
BURGLARY OF RESIDENCE,500,78741,9290
WARRANT ARREST NON TRAFFIC,3442,78701,9081
BURGLARY OF VEHICLE,601,78705,9048
CRIMINAL MISCHIEF,1400,78745,8967
THEFT,600,78752,8732
DWI,2100,78701,8673
CRIMINAL MISCHIEF,1400,78704,8384
ASSAULT WITH INJURY,900,78701,8311
FAMILY DISTURBANCE,3400,78748,8310
BURGLARY OF VEHICLE,601,78757,8090
THEFT BY SHOPLIFTING,607,78753,8007
THEFT,600,78748,7969
CRIMINAL MISCHIEF,1400,78744,7917
THEFT,600,78759,7755
ASSAULT W/INJURY-FAM/DATE VIOL,900,78753,7724
ASSAULT W/INJURY-FAM/DATE VIOL,900,78758,7502
DWI,2100,78704,7269
CRIMINAL MISCHIEF,1400,78723,7073
BURGLARY OF VEHICLE,601,78748,6917
FAMILY DISTURBANCE,3400,78752,6774
BURGLARY OF VEHICLE,601,78731,6770
BURGLARY OF VEHICLE,601,78751,6761
BURGLARY OF RESIDENCE,500,78758,6752
CRIMINAL MISCHIEF,1400,78702,6642
ASSAULT W/INJURY-FAM/DATE VIOL,900,78744,6459
CRIMINAL MISCHIEF,1400,78701,6444
POSS OF DRUG PARAPHERNALIA,1818,78701,6338
BURGLARY OF RESIDENCE,500,78753,6275
VIOL CITY ORDINANCE - OTHER,3299,78701,6266
THEFT,600,78751,6177
DWI,2100,78741,6145
CUSTODY ARREST TRAFFIC WARR,3722,78741,6095
BURGLARY OF VEHICLE,601,78746,6088
ASSAULT W/INJURY-FAM/DATE VIOL,900,78745,6075
BURGLARY OF RESIDENCE,500,78745,6061
FAMILY DISTURBANCE,3400,78721,5980
THEFT,600,78757,5957
BURGLARY OF VEHICLE,601,78749,5921
BURGLARY OF VEHICLE,601,78703,5868
HARASSMENT,2703,78741,5848
THEFT,600,78705,5792
DISTURBANCE - OTHER,3401,78758,5642
THEFT,600,78746,5553
AUTO THEFT,700,78741,5528
POSS OF DRUG PARAPHERNALIA,1818,78702,5523
DISTURBANCE - OTHER,3401,78741,5498
ASSAULT W/INJURY-FAM/DATE VIOL,900,78723,5453
BURGLARY OF RESIDENCE,500,78744,5448
HARASSMENT,2703,78745,5311
BURGLARY OF RESIDENCE,500,78704,5250
BURGLARY OF RESIDENCE,500,78723,5195
